TradingDate,Time,Intraday_Ret_Now,VWAP_Dist,Vol_Ratio,Day_Range,Range_Position,Time_Progress,Bar_Body,Bar_Range,Mom3,Mom6,Cum_Volume,Current_Price,TSM_Ret,SOX_Ret,TSM_Ret_lag2,SOX_Ret_lag2,TSM_SOX_Spread,NetOI_Diff_lag1,NetOI_Diff_lag2,Open_Gap,Intraday_Ret,Intraday_Point,Intra_Ret_lag1,TX_Ret,TX_Ret_lag1,TX_Vol5,TX_Mom5,MA5,MA20,RSI,Sentiment_Score,Sentiment_Conf,Remaining_Ret,Remaining_Dir,Remaining_Points,Next3_Ret,Next3_Dir,Next3_Pts,OFI,Cum_OFI,Trade_Count,Avg_Trade_Size,Large_Trade_Ratio,OFI_SMA3,TSM_5m_Ret,TSM_Intraday_Ret,TSM_Mom3,TSM_Vol_Ratio
2024-01-29,08:45:00,-0.0006662595080783965,-0.0003332407664537628,1.0,0.0017766920215423908,0.21875,0.0,-0.0006662595080783965,0.0017766920215423908,0.0,0.0,5708,17999.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.007000388910495027,1,126.0,-0.0005000277793210734,0.0,-9.0,0.0623686054660126,0.0623686054660126,1608,3.5497512437810945,0.0491293532338308,0.0,0.0,0.0,0.0,0.0
2024-01-29,08:50:00,-0.0008328243850979957,-0.0004300817645242564,0.30833917309039943,0.0017766920215423908,0.125,0.01694915254237288,-0.00016656487701959913,0.0007217811337515963,0.0,0.0,7468,17996.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.007168259613247388,1,129.0,0.000777950655701267,1.0,14.0,0.0227272727272727,0.0850958781932853,539,3.2653061224489797,0.0408163265306122,0.0,0.0,0.0,0.0,0.0
2024-01-29,08:55:00,-0.0009993892621175948,-0.0002277247751375008,1.4606320299946438,0.0027205596579867857,0.3673469387755102,0.03389830508474576,-0.00011104325134639942,0.001165954139137194,-0.0003333518528807156,0.0,12922,17993.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.007336186294670149,1,132.0,0.0013894292224754072,1.0,25.0,-0.0737073707370737,0.0113885074562116,1671,3.263913824057451,0.042489527229204,0.0037961691520705,0.0,0.0,0.0,0.0
2024-01-29,09:00:00,-0.001165954139137194,-0.00019683280308148508,1.4147964711344994,0.0029981677863527845,0.37037037037037035,0.05084745762711865,-0.00016656487701959913,0.001554605518849592,-0.00033340742387197157,0.0,19016,17990.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.007504168982768205,1,135.0,0.002390216787103947,1.0,43.0,0.0338037413849688,0.0451922488411804,2112,2.8854166666666665,0.0336174242424242,-0.0057254522082773,0.0,0.0,0.0,0.0
2024-01-29,09:05:00,-5.552162567319971e-05,0.0008001147718642096,1.1135885570046278,0.0029981677863527845,0.7407407407407407,0.06779661016949153,0.0010549108877907945,0.001165954139137194,0.0009448118712832768,0.0,24310,18010.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.006385341476957246,1,115.0,0.001998889505830094,1.0,36.0,0.062334718549301,0.1075269673904815,1452,3.6460055096418738,0.0599173553719008,0.0074770297323987,0.0,0.0,0.0,0.0
2024-01-29,09:10:00,0.000388651379712398,0.0010682396538872225,0.8700123406005759,0.0029981677863527845,0.8888888888888888,0.0847457627118644,0.000388651379712398,0.0006107378824051968,0.0015564202334630351,0.0010556142007889326,28540,18018.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.005938505938505939,1,107.0,0.001443001443001443,1.0,26.0,0.1394799054373522,0.2470068728278338,1134,3.7301587301587302,0.0696649029982363,0.078539455123874,0.0,0.0,0.0,0.0
2024-01-29,09:15:00,0.0012214757648103937,0.0016144269539071032,1.203363700070077,0.00388651379712398,0.9,0.1016949152542373,0.0008328243850979957,0.001332519016156793,0.0012770682953914493,0.002056012447210491,34264,18033.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.0051017578883158655,1,92.0,0.0019408861531636445,1.0,35.0,0.1201956673654786,0.3672025401933125,1383,4.13882863340564,0.0737527114967462,0.107336763784044,0.0,0.0,0.0,0.0
2024-01-29,09:20:00,0.00194325689856199,0.0020604647090871346,1.0079967312631333,0.004552773305202376,0.926829268292683,0.11864406779661017,0.0007217811337515963,0.0011104325134639942,0.001554001554001554,0.002945589951647863,39198,18046.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.004377701429679707,1,79.0,0.0009420370165133548,1.0,17.0,0.2371301175516822,0.6043326577449947,1241,3.975825946817083,0.0854149879129734,0.1656018967848377,0.0,0.0,0.0,0.0
2024-01-29,09:25:00,0.0018322136472155904,0.0017490779730929024,0.811469972957804,0.004830381433568375,0.8505747126436781,0.13559322033898305,-0.00011104325134639942,0.000777302759424796,0.0006099927909942883,0.003001667593107282,43174,18044.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.004489026823320771,1,81.0,0.0017180226113943694,1.0,31.0,-0.028169014084507,0.5761636436604877,1110,3.581981981981982,0.0585585585585585,0.1097189236108846,0.0,0.0,0.0,0.0
2024-01-29,09:30:00,0.0031647326633723835,0.002772734639879491,1.2811877518877102,0.005441119315973571,1.0,0.15254237288135594,0.0012769973904835934,0.0018322136472155904,0.0012191067272525767,0.0032204330927262633,49320,18068.0,0.0059875933516018,-0.029535696748448,0.0003432546696211,-0.002472270019448,0.0355232901000499,1043.0,3871.0,12.0,0.006309518385818,114.0,0.002670377108409,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,17978.4,17639.85,66.95906432748538,0.0,0.0,0.0031547487270312154,1,57.0,0.00044277175116227583,1.0,8.0,0.0315652456882525,0.6077288893487401,1732,3.548498845265589,0.0490762124711316,0.0801754497184759,0.0,0.0,0.0,0.0
