OFI,Cum_OFI,Trade_Count,Avg_Trade_Size,Large_Trade_Ratio,OFI_SMA3,TradingDate,Time
0.1902439024390244,0.1902439024390244,1287,3.8228438228438226,0.05827505827505827,0.0,2024-01-02,08:45:00
0.16890080428954424,0.35914470672856863,1525,3.9134426229508197,0.08459016393442623,0.0,2024-01-02,08:50:00
-0.023606228026117528,0.3355384787024511,1161,3.429801894918174,0.05598621877691645,0.11184615956748371,2024-01-02,08:55:00
0.001352657004830918,0.336891135707282,2858,3.621413575927222,0.06018194541637509,0.04888241108941921,2024-01-02,09:00:00
-0.007592913280937791,0.3292982224263442,4711,3.1870091275737633,0.04415198471662068,-0.009948828100741467,2024-01-02,09:05:00
-0.06596767147225863,0.2633305509540856,3139,2.916852500796432,0.03568015291494107,-0.024069309249455165,2024-01-02,09:10:00
0.049444231506324265,0.31277478246040985,1546,3.3751617076326004,0.054980595084087966,-0.008038784415624051,2024-01-02,09:15:00
-0.008614501076812634,0.30416028138359724,1543,3.611147116007777,0.06869734283862605,-0.008379313680915665,2024-01-02,09:20:00
-0.10188087774294671,0.20227940364065053,882,2.893424036281179,0.04195011337868481,-0.020350382437811693,2024-01-02,09:25:00
0.09431021044427124,0.2965896140849218,768,3.3411458333333335,0.0625,-0.0053950561251627045,2024-01-02,09:30:00
0.0497366881217086,0.3463263022066304,989,3.4560161779575327,0.05358948432760364,0.014055340274344375,2024-01-02,09:35:00
-0.1278974638669212,0.21842883833970922,2570,2.853696498054475,0.035408560311284046,0.005383144899686221,2024-01-02,09:40:00
0.03711870635795663,0.25554754469766583,1747,3.1150543789353176,0.048654836863194044,-0.013680689795751986,2024-01-02,09:45:00
0.09719222462203024,0.3527397693196961,580,3.193103448275862,0.05344827586206897,0.002137822371021896,2024-01-02,09:50:00
-0.09803921568627451,0.2547005536334216,632,3.0664556962025316,0.03639240506329114,0.012090571764570785,2024-01-02,09:55:00
