,Night_Open,Night_High,Night_Low,Night_Close,Night_Vol,Night_Bars,Night_Ret_vs_Day,Night_Body,Night_Range,Night_Vol_Change,Night_Gap_Open,TSM_Ret,SOX_Ret,NetOI_Diff_lag1,NetOI_Diff_lag2,TX_Ret,TX_Ret_lag1,TX_Vol5,TX_Mom5,RSI,MA5,MA20,TSM_Ret_lag2,SOX_Ret_lag2,TSM_SOX_Spread,Intra_Ret_lag1,Gap_Direction,Open_Gap,Night_Ret_roll3
2024-01-29,18126.0,18152.0,18068.0,18070.0,58492,108,0.003936903806795071,-0.003094267028452857,0.004634227077126779,0.7915188702911458,0.005976113403341728,0.0059875937543494,-0.029535696748448,1043.0,3871.0,0.0069759999433963,0.000222259266348,0.0029632893212764,0.017995272158586,66.95906432748538,17978.4,17639.85,0.0003431872043615,-0.002472270019448,0.0355232905027975,0.002670377108409,1,12.0,0.003936903806795071
2024-01-30,18063.0,18145.0,18002.0,18115.0,91452,168,-0.0005518763936979157,0.002874677196620085,0.007916735868903284,0.446924251722348,-0.0003874574537167036,-0.0023906160697607,0.0105769518773896,-1056.0,1043.0,-0.0024305375717217,0.0069759999433963,0.0026675167828264,0.0171391430389057,68.68626274745051,18020.6,17654.0,0.0059875937543494,-0.029535696748448,-0.0129675679471504,0.006309518385818,1,4.0,0.0016925137065485778
2024-01-31,17915.0,18044.0,17906.0,18041.0,95168,168,-0.0022147176983507767,0.007008594713748813,0.007703042143455205,0.03982950636570919,-0.011101973590123415,-0.0078957805983948,-0.0156819347280738,-2501.0,-1056.0,-0.0089442556222323,-0.0024305375717217,0.003766295635138,0.0117383339976801,60.08182349503215,18024.0,17672.7,-0.0023906160697607,0.0105769518773896,0.0077861541296789,-0.0026512028785144,0,-91.0,0.00039010323824879297
2024-02-01,17966.0,18046.0,17892.0,17898.0,131020,168,-0.0012284327861179557,-0.0037921080463484544,0.008571746632528108,0.3197062324660404,-0.004165862663651066,-0.0270734600448009,-0.013768060621301,-2400.0,-2501.0,0.0036762699455392,-0.0089442556222323,0.0063386368775268,0.0009491109776484,64.69544648137196,18022.2,17694.7,-0.0078957805983948,-0.0156819347280738,-0.0133053994234998,-0.0038986404156573,1,36.0,-0.0013316756260555492
2024-02-02,18080.0,18084.0,17981.0,18054.0,107404,168,0.0037735893836394877,-0.001439088088067261,0.005696902654867257,-0.19875255797464614,0.010117380203363923,0.0037994100522679,0.0045800672044424,-1995.0,-2400.0,0.0054338919400349,0.0036762699455392,0.0060845316953305,-0.0005002640386703,65.27050610820244,18039.2,17722.95,-0.0270734600448009,-0.013768060621301,-0.0007806571521744,0.0016693565726379,1,114.0,0.00011014629972358513
2024-02-05,18086.0,18096.0,18026.0,18034.0,39708,108,-0.0027687043546437877,-0.002879293240573435,0.003870396992148623,0.296213712999778,0.0015493584330009819,0.0205994709182896,0.0130554551213741,-2615.0,-1995.0,0.0001105888859297,0.0054338919400349,0.0065797898936649,0.0047113686350164,75.18394648829431,18031.4,17747.5,0.0037994100522679,0.0045800672044424,0.0075440157969154,-0.0008843688394213,0,-76.0,-7.45159190407519e-05
2024-02-15,18666.0,18727.0,18665.0,18685.0,48548,108,0.03258290461915888,0.0010173757938921433,0.0033215471981142184,0.8611529789415462,0.030570778812318723,0.0133947256379833,0.0215271518215123,642.0,-2615.0,0.0316191007321713,0.0001105888859297,0.0056575969722574,-0.0021540424224501,89.26701570680629,18148.6,17803.6,-0.0225583159834729,-0.020350197766104,-0.0081324261835289,0.0043220547138572,1,504.0,0.011195929882718192
2024-02-16,18636.0,18716.0,18618.0,18705.0,71452,168,0.002033608749649744,0.00369567384555909,0.005258639192959862,0.386472896342523,-0.0026258689828968533,-0.0018582568991561,-0.0016024665845936,2841.0,642.0,-0.0017693900222266,0.0316191007321713,0.015160440335382,0.0318955958814428,86.99453551912568,18291.4,17862.4,0.0133947256379833,0.0215271518215123,-0.0002557903145625,0.0041334573171072,1,16.0,0.010615936338054945
2024-02-19,18678.0,18678.0,18649.0,18666.0,15706,108,0.0017158181153217255,-0.0006426735439711932,0.0015526287611093265,-0.09400119570170419,0.0019829048004175844,-0.0183017820349902,-0.0066961856055824,-4050.0,2841.0,0.0019836489549654,-0.0017693900222266,0.0136074653436764,0.0390704614814485,83.79850238257318,18428.4,17917.2,-0.0018582568991561,-0.0016024665845936,-0.0116055964294077,-0.0026261504494672,1,46.0,0.012110777161376783
2024-02-23,18917.0,19004.0,18874.0,19003.0,76908,168,0.006017119389538078,0.004535872755694443,0.00687212560131099,-0.17687166781763916,0.010735647327134064,0.0293248868355131,0.0485100158089996,664.0,-321.0,0.0012697742566347,0.0104841172115027,0.0054508548744705,0.0118224829992227,80.27704485488127,18783.6,18202.15,7.980764354421438e-05,-0.0023609990557575,-0.0191851289734865,0.0001058873359736,1,101.0,0.0032555154181698486
